id,name,element,hp,subtype,weakness,resistance,retreat,style_icon,affinity_icon,evo_stage,attack1_name,attack1_cost,attack1_damage,attack1_text,attack2_name,attack2_cost,attack2_damage,attack2_text,image_file
45e,Solaron,Solar,92,Solar Creature,Void,Nature,2,star,fire,2,Flare Strike,SS,55,High-damage fire and light attack.,Stellar Shield,SSS,75,Reduces incoming damage for several turns.,45e-solaron-evo.png
46,Heliorb,Solar,58,Solar Creature,Void,Nature,3,star,solar,1,Radiant Orb,S,30,Launches concentrated sunlight at enemies.,Light Barrier,SS,50,Slightly boosts ally defense temporarily.,46-heliorb-base.png
46e,Radiara,Solar,90,Solar Creature,Void,Nature,2,star,light,2,Solar Nova,SS,55,Devastating area-of-effect light attack.,Radiant Aura,SSS,75,Boosts allies’ light damage and healing effects.,46e-radiara-evo.png
47,Moonlit,Lunar,58,Lunar Creature,Void,Psychic,3,star,lunar,1,Moonbeam,L,30,Light attack with a chance to confuse enemies.,Lunar Calm,LL,50,Reduces enemy attack slightly for a turn.,47-moonlit-base.png
47e,Lunara,Lunar,90,Lunar Creature,Void,Psychic,2,star,psychic,2,Moon Pulse,LL,50,Psychic attack that deals damage and reduces defense.,Lunar Blessing,LLL,70,Restores health to all allies in range.,47e-lunara-evo.png
48,Orbix,Lunar,60,Lunar Creature,Void,Psychic,3,star,lunar,1,Orb Strike,L,30,Rapidprecise attacks from all angles.,Moon Drift,LL,50,Slight evasion boost while in motion.,48-orbix-base.png
48e,Umbrelune,Lunar,92,Lunar Creature,Void,Psychic,2,star,dark,2,Eclipse Slash,LL,55,Dark and lunar damage combined in a wide attack.,Shadow Moon,LLL,75,Reduces enemy accuracy and evasion.,48e-Umbrelune-evo.png
49,Voidlet,Void,56,Void Creature,Light,Gravity,3,tech,void,1,Void Pulse,VV,35,Damages enemies and ignores defense.,Empty Grasp,VV,55,Slight chance to trap enemies for a turn.,49-voidlet-base.png
49e,Nullion,Void,88,Void Creature,Light,Gravity,2,tech,gravity,2,Black Hole,VV,60,Pulls enemies in and deals massive void damage.,Gravity Drain,VVV,80,Reduces enemies’ speed and attack while restoring own energy.,49e-nullion-evo.png
50,Riftbit,Void,58,Void Creature,Light,Gravity,3,tech,void,1,Dimensional Slash,VV,35,Strikes enemies through spaceignoring evasion.,Rift Step,VV,55,Moves unpredictably to avoid attacks.,50-riftbit-base.png
50e,Abyssalon,Void,90,Void Creature,Light,Gravity,2,tech,dark,2,Void Crush,VV,55,High-damage attack affecting all foes.,Abyssal Rift,VVV,75,Creates rifts that damage and disorient enemies over time.,50e-abyssalon-evo.png
